Date,Time,Lat,Lon,Speed m/s,Distance km,RPM 1,Motor Load 1 %,Motor Torque 1 %,Motor Temp 1 C,RPM 2,Motor Load 2 %,Motor Torque 2 %,Motor Temp 2 C,RPM 3,Motor Load 3 %,Motor Torque 3 %,Motor Temp 3 C,RPM 4,Motor Load 4 %,Motor Torque 4 %,Motor Temp 4 C,Depth m,Temp Source 1,Temp 1 C,Temp Source 2,Temp 2 C,Temp Source 3,Temp 3 C,Temp Source 4,Temp 4 C,Pack Current 1 A,Pack Voltage 1 V,Pack Temp 1 C,SOC 1 %,Pack Current 2 A,Pack Voltage 2 V,Pack Temp 2 C,SOC 2 %,Pack Current 3 A,Pack Voltage 3 V,Pack Temp 3 C,SOC 3 %,Pack Current 4 A,Pack Voltage 4 V,Pack Temp 4 C,SOC 4 %
23-03-07,9:10:37,45.476398,-122.668266,0.544276,0.007420,0,0,0,31.700001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.600000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.100000,40.279999,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:38,45.476398,-122.668266,0.291577,0.007680,0,0,0,31.600000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.610000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.100000,40.259998,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:39,45.476414,-122.668266,0.272138,0.007820,0,0,0,31.700001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.620000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.200000,40.250000,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:40,45.476425,-122.668266,0.349892,0.007970,0,0,0,31.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.630000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.100000,40.270000,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:41,45.476429,-122.668266,0.272138,0.008140,0,0,0,31.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.650000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.200000,40.259998,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:42,45.476425,-122.668266,0.388769,0.008270,0,0,0,31.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.650000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.100000,40.259998,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:43,45.476418,-122.668266,0.583153,0.008490,0,0,0,31.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.640000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.100000,40.250000,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:44,45.476414,-122.668266,0.602592,0.008790,0,0,0,31.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.670000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.100000,40.259998,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:45,45.476410,-122.668266,0.427646,0.009090,0,0,0,31.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.650000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.100000,40.250000,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-07,9:10:46,45.476406,-122.668266,0.291577,0.009290,0,0,0,31.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1.690000,0,5.560000,0,0.000000,0,0.000000,0,0.000000,1.200000,40.270000,38.000000,82,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
