Date,Time,Lat,Lon,Speed m/s,Distance km,RPM 1,Motor Load 1 %,Motor Torque 1 %,Motor Temp 1 C,RPM 2,Motor Load 2 %,Motor Torque 2 %,Motor Temp 2 C,RPM 3,Motor Load 3 %,Motor Torque 3 %,Motor Temp 3 C,RPM 4,Motor Load 4 %,Motor Torque 4 %,Motor Temp 4 C,Depth m,Temp Source 1,Temp 1 C,Temp Source 2,Temp 2 C,Temp Source 3,Temp 3 C,Temp Source 4,Temp 4 C,Pack Current 1 A,Pack Voltage 1 V,Pack Temp 1 C,SOC 1 %,Pack Current 2 A,Pack Voltage 2 V,Pack Temp 2 C,SOC 2 %,Pack Current 3 A,Pack Voltage 3 V,Pack Temp 3 C,SOC 3 %,Pack Current 4 A,Pack Voltage 4 V,Pack Temp 4 C,SOC 4 %
23-03-03,9:42:24,45.560852,-122.704987,0.524838,0.000000,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.580002,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:25,45.560875,-122.704987,0.816414,0.000400,0,0,0,34.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,1.000000,40.590000,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:26,45.560902,-122.704987,0.952484,0.000860,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.580002,44.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:27,45.560814,-122.704987,1.146868,0.001420,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.580002,44.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:28,45.560833,-122.704987,1.010799,0.002000,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.590000,44.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:29,45.560856,-122.704987,0.777538,0.002410,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.570000,44.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:30,45.560875,-122.705208,0.622030,0.002790,0,0,0,34.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.580002,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:31,45.560902,-122.705208,0.408207,0.003040,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.590000,44.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:32,45.560802,-122.705208,0.311015,0.003210,0,0,0,34.790001,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.580002,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:33,45.560810,-122.705208,0.252700,0.003340,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.590000,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:34,45.560825,-122.705208,0.272138,0.003470,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.580002,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:35,45.560829,-122.705208,0.291577,0.003620,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.560001,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:36,45.560833,-122.705208,0.213823,0.003750,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.600000,40.570000,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:37,45.560841,-122.705208,0.000000,0.003750,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.570000,44.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:38,45.560844,-122.705208,0.000000,0.003750,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.570000,44.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:39,45.560844,-122.705208,0.000000,0.003750,0,0,0,35.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.570000,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-03-03,9:42:40,45.560852,-122.705208,0.291577,0.003870,0,0,0,34.889999,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,2.980000,0,13.990000,0,0.000000,0,0.000000,0,0.000000,0.800000,40.570000,43.000000,87,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
