Date,Time,Lat,Lon,Speed m/s,Distance km,RPM 1,Motor Load 1 %%,Motor Torque 1 %%,Motor Temp 1 C,RPM 2,Motor Load 2 %%,Motor Torque 2 %%,Motor Temp 2 C,RPM 3,Motor Load 3 %%,Motor Torque 3 %%,Motor Temp 3 C,RPM 4,Motor Load 4 %%,Motor Torque 4 %%,Motor Temp 4 C,Depth m,Temp Source 1,Temp 1 C,Temp Source 2,Temp 2 C,Temp Source 3,Temp 3 C,Temp Source 4,Temp 4 C,Pack Current 1 A,Pack Voltage 1 V,Pack Temp 1 C,SOC 1 %%,Pack Current 2 A,Pack Voltage 2 V,Pack Temp 2 C,SOC 2 %%,Pack Current 3 A,Pack Voltage 3 V,Pack Temp 3 C,SOC 3 %%,Pack Current 4 A,Pack Voltage 4 V,Pack Temp 4 C,SOC 4 %%
23-01-10,11:24:48,45.560810,-122.720818,0.000000,12.451462,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:49,45.560837,-122.720711,0.000000,12.451462,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.119999,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:50,45.560837,-122.720711,0.000000,12.451462,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:51,45.560833,-122.720711,0.000000,12.451462,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.119999,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:52,45.560837,-122.720711,0.000000,12.451462,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:53,45.560837,-122.720711,0.000000,12.451462,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.119999,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:54,45.560833,-122.720711,0.000000,12.451462,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:55,45.560833,-122.720711,0.233261,12.451582,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:56,45.560833,-122.720711,0.213823,12.451692,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.600000,32.119999,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:57,45.560829,-122.720711,0.000000,12.451692,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.600000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:58,45.560822,-122.720711,0.000000,12.451692,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:24:59,45.560822,-122.720711,0.291577,12.451832,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.700000,32.110001,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
23-01-10,11:25:0,45.560818,-122.720711,0.291577,12.451992,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,0.000000,0,6.790000,0,0.000000,0,0.000000,0,0.000000,-4.600000,32.119999,297.000000,48,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
